"Start date collected","End date collected","Region","ISO code","Country code","Country","Lat","Long","HPAI strain","WOAH Classification","New outbreaks","Cumulative outbreaks"
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5Nx)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N1)","Domestic birds",28,28
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N5)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N8)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5Nx)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N1)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N8)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5Nx)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5N1)","Domestic birds",18,18
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5N5)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5N8)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5Nx)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5N1)","Wild birds",7,7
2021-09-16,2021-12-08,"Africa","ZAF",710,"South Africa",-32.7383957,5.8430347,"A(H5N8)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5Nx)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5N1)","Domestic birds",1,1
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5N5)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5N8)","Domestic birds",0,0
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5Nx)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5N1)","Wild birds",0,0
2021-09-16,2021-12-08,"Africa","TGO",768,"Togo",8.6013882,-1.8102687,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5N1)","Domestic birds",1,1
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5N1)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","BFA",854,"Burkina Faso",12.2346243,-4.1970192,"A(H5Nx)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5N1)","Domestic birds",1,1
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5N1)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","CMR",120,"Cameroon",7.3384398,6.9927678,"A(H5Nx)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5N1)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5N1)","Wild birds",7,7
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NAM",516,"Namibia",-22.8791098,13.0690642,"A(H5Nx)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5N1)","Domestic birds",3,3
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5N1)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NER",562,"Niger",17.5262947,2.7816518,"A(H5Nx)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N1)","Domestic birds",123,151
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N1)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Africa","NGA",566,"Nigeria",8.9958691,3.3764943,"A(H5Nx)","Wild birds",0,0
