"n","ADIS Reference","Region","Province","Latitude","Longitude","Species","Subtype","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
54,"IT-HPAI(P)-2021-00060","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-16,2021-12-16,2022-01-20,2022-01-29
55,"IT-HPAI(P)-2021-00061","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-11-30,2022-01-21,2022-01-30
56,"IT-HPAI(P)-2021-00062","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-17,2022-01-21,2022-01-30
57,"IT-HPAI(P)-2021-00063","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-15,2022-01-05,2022-01-14
58,"IT-HPAI(P)-2021-00064","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-07,2022-01-21,2022-01-30
59,"IT-HPAI(P)-2021-00065","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-01,2022-01-21,2022-01-30
60,"IT-HPAI(P)-2021-00066","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-15,2022-01-21,2022-01-30
61,"IT-HPAI(P)-2021-00067","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-02,2022-01-21,2022-01-30
62,"IT-HPAI(P)-2021-00068","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-15,2022-01-21,2022-01-30
63,"IT-HPAI(P)-2021-00069","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-17,2021-12-10,2022-01-30,2022-02-08
64,"IT-HPAI(P)-2021-00070","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-16,2022-01-06,2022-01-15
65,"IT-HPAI(P)-2021-00071","VENETO","VERONA",45.43839046,10.99352685,"Pullet","H5N1",2021-11-18,2021-11-27,2022-01-30,2022-02-08
66,"IT-HPAI(P)-2021-00072","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-18,2021-12-15,2022-01-25,2022-02-03
67,"IT-HPAI(P)-2021-00073","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-18,2021-12-16,2022-01-21,2022-01-30
68,"IT-HPAI(P)-2021-00074","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-19,2021-12-15,2022-01-19,2022-01-28
69,"IT-HPAI(P)-2021-00075","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-19,2021-12-17,2022-01-21,2022-01-30
70,"IT-HPAI(P)-2021-00076","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-19,2021-12-14,2022-01-21,2022-01-30
71,"IT-HPAI(P)-2021-00077","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-19,2021-11-27,2022-01-21,2022-01-30
72,"IT-HPAI(P)-2021-00078","VENETO","PADOVA",45.40692987,11.87608718,"Broiler","H5N1",2021-11-20,2021-11-26,2022-01-21,2022-01-30
73,"IT-HPAI(P)-2021-00079","VENETO","PADOVA",45.40692987,11.87608718,"Ducks","H5N1",2021-11-20,2021-12-05,2022-01-21,2022-01-30
74,"IT-HPAI(P)-2021-00080","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-21,2021-12-24,2022-01-20,2022-01-29
75,"IT-HPAI(P)-2021-00081","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-21,2021-12-24,2022-01-27,2022-02-05
76,"IT-HPAI(P)-2021-00082","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-22,2021-12-15,2022-01-30,2022-02-08
77,"IT-HPAI(P)-2021-00083","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-21,2021-12-29,2022-01-19,2022-01-28
78,"IT-HPAI(P)-2021-00084","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-11-22,2021-12-02,2022-01-30,2022-02-08
79,"IT-HPAI(P)-2021-00085","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-22,2021-12-15,2022-01-05,2022-01-14
80,"IT-HPAI(P)-2021-00086","VENETO","PADOVA",45.40692987,11.87608718,"Broiler","H5N1",2021-11-22,2021-12-04,2022-01-25,2022-02-03
81,"IT-HPAI(P)-2021-00087","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-11-23,2021-12-22,2022-01-12,2022-01-21
82,"IT-HPAI(P)-2021-00088","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-11-19,2021-12-01,2021-12-21,2021-12-31
83,"IT-HPAI(P)-2021-00089","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-23,2021-12-11,2022-01-30,2022-02-08
84,"IT-HPAI(P)-2021-00090","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-23,2021-12-21,2022-01-19,2022-01-28
85,"IT-HPAI(P)-2021-00091","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-11-23,2021-12-01,2021-12-22,2021-12-31
86,"IT-HPAI(P)-2021-00092","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-23,2021-12-02,2021-12-23,2022-01-01
87,"IT-HPAI(P)-2021-00093","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-24,2021-12-01,2021-12-22,2021-12-31
88,"IT-HPAI(P)-2021-00094","VENETO","PADOVA",45.40692987,11.87608718,"Laying hen","H5N1",2021-11-23,2021-12-12,2022-01-21,2022-01-30
89,"IT-HPAI(P)-2021-00095","VENETO","PADOVA",45.40692987,11.87608718,"Broiler","H5N1",2021-11-23,2021-12-08,2022-01-21,2022-01-30
90,"IT-HPAI(P)-2021-00096","VENETO","VERONA",45.43839046,10.99352685,"PHEASANT","H5N1",2021-11-23,2021-12-05,2022-01-21,2022-01-30
