"n","ADIS Reference","Region","Province","Latitude","Longitude","Species","Subtype","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
165,"IT-HPAI(P)-2021-00188","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-06,2021-12-29,2022-01-21,2022-01-30
166,"IT-HPAI(P)-2021-00197","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-06,2021-12-14,2022-01-21,2022-01-30
167,"IT-HPAI(P)-2021-00201","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-06,2021-12-17,2022-01-18,2022-01-27
168,"IT-HPAI(P)-2021-00202","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-06,2021-12-23,2022-01-20,2022-01-29
169,"IT-HPAI(P)-2021-00203","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-07,2021-12-24,2022-01-14,2022-01-23
170,"IT-HPAI(P)-2021-00204","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-07,2021-12-17,2022-01-14,2022-01-23
171,"IT-HPAI(P)-2021-00205","VENETO","VERONA",45.43839046,10.99352685,"Turkey breeder","H5N1",2021-12-07,2021-12-24,2022-01-30,2022-02-08
172,"IT-HPAI(P)-2021-00206","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-07,2021-12-21,2022-01-27,2022-02-05
173,"IT-HPAI(P)-2021-00207","VENETO","VICENZA",45.547497,11.54597109,"Turkey breeder","H5N1",2021-12-07,2021-12-17,2022-01-18,2022-01-27
174,"IT-HPAI(P)-2021-00208","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-07,2021-12-22,2022-01-25,2022-02-03
175,"IT-HPAI(P)-2021-00209","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-08,2022-01-04,2022-01-25,2022-02-03
176,"IT-HPAI(P)-2021-00210","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-08,2021-12-24,2022-01-26,2022-02-04
177,"IT-HPAI(P)-2021-00211","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-07,2022-01-15,2022-02-05,2022-02-14
178,"IT-HPAI(P)-2021-00212","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Broiler","H5N1",2021-12-07,2021-12-28,2022-01-18,2022-01-27
179,"IT-HPAI(P)-2021-00213","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Broiler","H5N1",2021-12-07,2021-12-28,2022-01-18,2022-01-27
180,"IT-HPAI(P)-2021-00214","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-07,2022-01-14,2022-02-04,2022-02-13
181,"IT-HPAI(P)-2021-00215","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Meat turkey","H5N1",2021-12-07,2021-12-29,2022-01-19,2022-01-28
182,"IT-HPAI(P)-2021-00216","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-10,2021-12-26,2022-01-16,2022-01-25
183,"IT-HPAI(P)-2021-00217","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-09,2021-12-18,2022-01-21,2022-01-30
184,"IT-HPAI(P)-2021-00218","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-09,2021-12-31,2022-01-21,2022-01-30
185,"IT-HPAI(P)-2021-00219","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-09,2021-12-25,2022-01-19,2022-01-28
186,"IT-HPAI(P)-2021-00220","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-09,2022-01-05,2022-01-26,2022-02-04
187,"IT-HPAI(P)-2021-00221","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-09,2022-01-05,2022-01-26,2022-02-04
188,"IT-HPAI(P)-2021-00222","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Ducks","H5N1",2021-12-07,2021-12-09,2021-12-31,2022-01-09
189,"IT-HPAI(P)-2021-00223","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Broiler","H5N1",2021-12-11,2021-12-20,2022-01-10,2022-01-19
190,"IT-HPAI(P)-2021-00224","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-11,2021-12-23,2022-01-13,2022-01-22
191,"IT-HPAI(P)-2021-00225","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-11,2022-01-15,2022-02-05,2022-02-14
192,"IT-HPAI(P)-2021-00226","VENETO","PADOVA",45.40692987,11.87608718,"Multispecies/rural","H5N1",2021-12-10,2021-12-16,2022-01-29,2022-02-07
193,"IT-HPAI(P)-2021-00227","VENETO","PADOVA",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-10,2021-12-23,2022-01-25,2022-02-03
194,"IT-HPAI(P)-2021-00228","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-10,2021-12-22,2022-02-11,2022-02-20
195,"IT-HPAI(P)-2021-00229","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-10,2021-12-30,2022-02-11,2022-02-20
196,"IT-HPAI(P)-2021-00230","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-10,2022-01-06,2022-01-27,2022-02-05
197,"IT-HPAI(P)-2021-00231","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-10,2021-12-30,2022-01-20,2022-01-29
198,"IT-HPAI(P)-2021-00232","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-11,2021-12-29,2022-01-21,2022-01-30
199,"IT-HPAI(P)-2021-00233","VENETO","PADOVA",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-11,2021-12-29,2022-01-25,2022-02-03
200,"IT-HPAI(P)-2021-00234","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-12,2021-12-29,2022-01-21,2022-01-30
201,"IT-HPAI(P)-2021-00235","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-10,2022-01-19,2022-02-09,2022-02-18
202,"IT-HPAI(P)-2021-00236","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Meat turkey","H5N1",2021-12-10,2021-12-24,2022-01-14,2022-01-23
203,"IT-HPAI(P)-2021-00237","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-10,2022-01-13,2022-02-03,2022-02-13
204,"IT-HPAI(P)-2021-00238","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-10,2021-12-29,2022-01-19,2022-01-28
205,"IT-HPAI(P)-2021-00239","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-13,2021-12-23,2022-02-02,2022-02-11
206,"IT-HPAI(P)-2021-00240","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-13,2021-12-31,2022-01-21,2022-01-30
207,"IT-HPAI(P)-2021-00241","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-13,2021-12-23,2022-01-13,2022-01-22
208,"IT-HPAI(P)-2021-00242","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-12,2021-12-19,2022-02-02,2022-02-11
209,"IT-HPAI(P)-2021-00243","VENETO","PADOVA",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-13,2022-01-08,2022-01-29,2022-02-07
210,"IT-HPAI(P)-2021-00244","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-31,2022-01-21,2022-01-30
211,"IT-HPAI(P)-2021-00245","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-31,2022-01-21,2022-01-30
212,"IT-HPAI(P)-2021-00246","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-14,2022-01-23,2022-02-19,2022-02-28
213,"IT-HPAI(P)-2021-00247","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-14,2022-01-27,2022-02-19,2022-02-28
214,"IT-HPAI(P)-2021-00248","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-14,2022-01-26,2022-02-19,2022-02-28
215,"IT-HPAI(P)-2021-00249","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-14,2021-12-30,2022-02-11,2022-02-20
216,"IT-HPAI(P)-2021-00250","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-30,2022-01-21,2022-01-30
217,"IT-HPAI(P)-2021-00251","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-14,2021-12-21,2022-02-09,2022-02-18
218,"IT-HPAI(P)-2021-00252","VENETO","VERONA",45.43839046,10.99352685,"Pheasant","H5N1",2021-12-14,2021-12-18,2022-01-21,2022-01-30
219,"IT-HPAI(P)-2021-00253","VENETO","VERONA",45.43839046,10.99352685,"Game birds","H5N1",2021-12-14,2022-01-09,2022-01-30,2022-02-08
220,"IT-HPAI(P)-2021-00254","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-14,2022-01-13,2022-02-03,2022-02-12
221,"IT-HPAI(P)-2021-00255","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-31,2022-01-21,2022-01-30
222,"IT-HPAI(P)-2021-00256","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-14,2021-12-29,2022-01-21,2022-01-30
223,"IT-HPAI(P)-2021-00257","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-14,2021-12-28,2022-01-29,2022-02-07
224,"IT-HPAI(P)-2021-00258","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-15,2022-01-01,2022-01-22,2022-01-31
225,"IT-HPAI(P)-2021-00259","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-15,2022-01-10,2022-01-31,2022-02-09
226,"IT-HPAI(P)-2021-00260","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-15,2022-01-14,2022-02-04,2022-02-13
227,"IT-HPAI(P)-2021-00261","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-15,2022-01-13,2022-02-03,2022-02-12
228,"IT-HPAI(P)-2021-00262","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Broiler","H5N1",2021-12-14,2021-12-24,2022-01-14,2022-01-23
229,"IT-HPAI(P)-2021-00263","VENETO","VERONA",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-15,2021-12-25,2022-01-20,2022-01-29
230,"IT-HPAI(P)-2021-00264","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-15,2021-12-31,2022-01-21,2022-01-30
231,"IT-HPAI(P)-2021-00265","VENETO","VERONA",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-15,2021-12-31,2022-01-25,2022-02-03
232,"IT-HPAI(P)-2021-00266","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-15,2021-12-31,2022-01-21,2022-01-30
233,"IT-HPAI(P)-2021-00267","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-15,2021-12-28,2022-01-26,2022-02-04
234,"IT-HPAI(P)-2021-00268","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-16,2022-01-15,2022-02-05,2022-02-14
235,"IT-HPAI(P)-2021-00269","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-16,2022-01-05,2022-01-26,2022-02-04
236,"IT-HPAI(P)-2021-00270","VENETO","VERONA",45.43839046,10.99352685,"Guinea fowl","H5N1",2021-12-16,2022-01-06,2022-01-30,2022-02-08
237,"IT-HPAI(P)-2021-00271","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-16,2022-01-04,2022-01-27,2022-02-05
238,"IT-HPAI(P)-2021-00272","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-16,2021-12-29,2022-01-19,2022-01-28
239,"IT-HPAI(P)-2021-00273","VENETO","PADOVA",45.40692987,11.87608718,"Chicken breeder","H5N1",2021-12-17,2021-12-29,2022-01-29,2022-02-07
240,"IT-HPAI(P)-2021-00274","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-16,2022-01-15,2022-02-05,2022-02-14
241,"IT-HPAI(P)-2021-00275","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-17,2022-01-14,2022-02-04,2022-02-13
242,"IT-HPAI(P)-2021-00276","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-17,2022-01-15,2022-02-05,2022-02-14
243,"IT-HPAI(P)-2021-00277","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-17,2022-01-13,2022-01-25,2022-02-03
244,"IT-HPAI(P)-2021-00278","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-17,2022-01-09,2022-01-30,2022-02-08
245,"IT-HPAI(P)-2021-00279","VENETO","VERONA",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-17,2022-01-06,2022-01-27,2022-02-05
246,"IT-HPAI(P)-2021-00280","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-17,2021-12-30,2022-01-20,2022-01-29
247,"IT-HPAI(P)-2021-00281","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-18,2021-12-30,2022-02-02,2022-02-11
248,"IT-HPAI(P)-2021-00282","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-18,2021-12-30,2022-01-20,2022-01-29
249,"IT-HPAI(P)-2021-00283","VENETO","PADOVA",45.40692987,11.87608718,"Broiler","H5N1",2021-12-18,2022-01-05,2022-01-29,2022-02-07
250,"IT-HPAI(P)-2021-00284","VENETO","PADOVA",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-19,2022-01-09,2022-01-30,2022-02-08
251,"IT-HPAI(P)-2021-00285","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-21,2022-01-13,2022-02-03,2022-02-12
252,"IT-HPAI(P)-2021-00286","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-21,2022-01-13,2022-02-03,2022-02-12
253,"IT-HPAI(P)-2021-00287","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-21,2022-01-16,2022-02-06,2022-02-15
254,"IT-HPAI(P)-2021-00288","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-21,2022-01-04,2022-01-25,2022-02-03
255,"IT-HPAI(P)-2021-00289","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-21,2021-12-28,2022-01-18,2022-01-27
256,"IT-HPAI(P)-2021-00290","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2021-12-28,2022-01-18,2022-01-27
257,"IT-HPAI(P)-2021-00291","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2022-01-04,2022-01-29,2022-02-07
258,"IT-HPAI(P)-2021-00292","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2022-01-08,2022-01-29,2022-02-07
259,"IT-HPAI(P)-2021-00293","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2022-01-06,2022-01-27,2022-02-05
260,"IT-HPAI(P)-2021-00294","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2021-12-31,2022-01-27,2022-02-05
261,"IT-HPAI(P)-2021-00295","VENETO","VERONA",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-21,2022-01-06,2022-01-27,2022-02-05
262,"IT-HPAI(P)-2021-00296","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-22,2022-01-10,2022-01-31,2022-02-09
263,"IT-HPAI(P)-2021-00297","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-21,2022-01-16,2022-02-06,2022-02-15
264,"IT-HPAI(P)-2021-00298","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-21,2021-12-30,2022-01-20,2022-01-29
265,"IT-HPAI(P)-2021-00299","VENETO","VERONA",45.43839046,10.99352685,"Multispecies/rural","H5N1",2021-12-21,2021-12-31,2022-01-27,2022-02-05
266,"IT-HPAI(P)-2021-00300","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-21,2021-12-24,2022-01-27,2022-02-05
267,"IT-HPAI(P)-2021-00301","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-22,2022-01-29,2022-02-19,2022-02-28
268,"IT-HPAI(P)-2021-00302","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-22,2022-01-05,2022-01-26,2022-02-04
269,"IT-HPAI(P)-2021-00303","VENETO","ROVIGO",45.07107289,11.79007,"Meat turkey","H5N1",2021-12-22,2022-01-01,2022-02-04,2022-02-13
270,"IT-HPAI(P)-2021-00304","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-22,2022-01-29,2022-02-19,2022-02-28
271,"IT-HPAI(P)-2021-00305","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-22,2021-12-31,2022-01-21,2022-01-30
272,"IT-HPAI(P)-2021-00306","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-22,2021-12-28,2022-02-02,2022-02-11
273,"IT-HPAI(P)-2021-00307","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-23,2022-01-05,2022-02-04,2022-02-13
274,"IT-HPAI(P)-2021-00308","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-23,2022-01-20,2022-02-10,2022-02-19
275,"IT-HPAI(P)-2021-00309","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-23,2022-01-19,2022-02-09,2022-02-18
276,"IT-HPAI(P)-2021-00310","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-24,2022-01-14,2022-02-04,2022-02-13
277,"IT-HPAI(P)-2021-00311","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-24,2022-01-05,2022-01-26,2022-02-04
278,"IT-HPAI(P)-2021-00312","VENETO","VICENZA",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-24,2022-01-05,2022-01-26,2022-02-04
279,"IT-HPAI(P)-2021-00313","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-24,2022-01-08,2022-01-29,2022-02-07
280,"IT-HPAI(P)-2021-00314","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-24,2022-01-14,2022-02-04,2022-02-13
281,"IT-HPAI(P)-2021-00315","VENETO","ROVIGO",45.07107289,11.79007,"Meat turkey","H5N1",2021-12-26,2022-01-10,2022-02-04,2022-02-13
282,"IT-HPAI(P)-2021-00316","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-24,2022-01-18,2022-02-08,2022-02-17
283,"IT-HPAI(P)-2021-00317","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-24,2021-12-31,2022-01-21,2022-01-30
284,"IT-HPAI(P)-2021-00318","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Multispecies/rural","H5N1",2021-12-24,2022-01-11,2022-02-01,2022-02-10
285,"IT-HPAI(P)-2021-00319","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Pullet","H5N1",2021-12-24,2022-01-13,2022-02-03,2022-02-12
286,"IT-HPAI(P)-2021-00320","VENETO","ROVIGO",45.07107289,11.79007,"Meat turkey","H5N1",2021-12-29,2022-01-11,2022-02-04,2022-02-13
287,"IT-HPAI(P)-2021-00321","VENETO","PADOVA",45.40692987,11.87608718,"Broiler","H5N1",2021-12-29,2022-01-08,2022-01-29,2022-02-07
288,"IT-HPAI(P)-2021-00322","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-29,2022-01-14,2022-02-04,2022-02-13
289,"IT-HPAI(P)-2021-00323","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-29,2022-01-12,2022-02-02,2022-02-11
290,"IT-HPAI(P)-2021-00324","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-27,2022-01-12,2022-02-02,2022-02-11
291,"IT-HPAI(P)-2021-00325","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-27,2022-01-19,2022-02-09,2022-02-18
292,"IT-HPAI(P)-2021-00326","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-27,2022-01-05,2022-02-09,2022-02-18
293,"IT-HPAI(P)-2021-00327","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-27,2022-01-20,2022-02-10,2022-02-19
294,"IT-HPAI(P)-2021-00328","VENETO","VICENZA",45.547497,11.54597109,"Broiler","H5N1",2021-12-27,2022-01-18,2022-02-08,2022-02-17
295,"IT-HPAI(P)-2022-00001","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Grower farms","H5N1",2021-12-31,2021-12-31,2022-01-21,2022-01-30
296,"IT-HPAI(P)-2022-00002","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Pullets","H5N1",2021-12-31,2022-01-14,2022-02-04,2022-02-13
297,"IT-HPAI(P)-2022-00003","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Meat turkeys","H5N1",2021-12-31,2021-12-30,2022-01-20,2022-01-29
298,"IT-HPAI(P)-2022-00004","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Laying hens","H5N1",2021-12-31,2022-01-12,2022-02-02,2022-02-11
299,"IT-HPAI(P)-2022-00005","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hens","H5N1",2022-01-04,2022-01-15,2022-02-05,2022-02-14
300,"IT-HPAI(P)-2022-00006","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hens","H5N1",2022-01-04,2022-01-20,2022-02-10,2022-02-19
301,"IT-HPAI(P)-2022-00007","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Broilers","H5N1",2022-01-04,2022-01-16,2022-02-06,2022-02-15
302,"IT-HPAI(P)-2022-00008","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Broilers","H5N1",2022-01-04,2022-01-14,2022-02-04,2022-02-13
303,"IT-HPAI(P)-2022-00009","VENETO","ROVIGO",45.07107289,11.79007,"Laying hens","H5N1",2022-01-04,2022-01-14,2022-02-04,2022-02-13
304,"IT-HPAI(P)-2022-00010","VENETO","VICENZA",45.547497,11.54597109,"Broilers","H5N1",2022-01-04,2022-01-08,2022-01-29,2022-02-07
305,"IT-HPAI(P)-2022-00011","VENETO","VERONA",45.43839046,10.99352685,"Meat turkeys","H5N1",2022-01-05,2022-01-15,2022-02-05,2022-02-14
306,"IT-HPAI(P)-2022-00012","VENETO","VICENZA",45.547497,11.54597109,"Multispecies/rural","H5N1",2022-01-10,2022-01-13,2022-02-03,2022-02-12
307,"IT-HPAI(P)-2022-00013","TOSCANA","FIRENZE",43.76923077,11.25588885,"Multispecies/rural","H5N1",2022-01-14,2022-01-16,2022-02-06,2022-02-15
308,"IT-HPAI(P)-2022-00014","LOMBARDIA","BRESCIA",45.53993052,10.21910323,"Broilers","H5N1",2022-01-14,2022-01-15,2022-02-05,2022-02-14
309,"IT-HPAI(P)-2022-00016","LOMBARDIA","PAVIA",45.18509264,9.160157191,"Meat duck","H5N1",2022-02-09,2022-02-12,2022-03-05,2022-03-14
310,"IT-HPAI(P)-2022-00017","TOSCANA","PRATO",43.88062274,11.09703315,"Multispecies/rural","H5N1",2022-02-16,2022-02-23,2022-03-16,2022-03-25
311,"IT-HPAI(P)-2022-00018","TOSCANA","PRATO",43.88062274,11.09703315,"Multispecies/rural","H5N1",2022-02-16,2022-02-19,2022-03-12,2022-03-21
312,"IT-HPAI(P)-2022-00019","LOMBARDIA","PAVIA",45.18509264,9.160157191,"Multispecies/rural","H5N1",2022-02-18,2022-02-17,2022-03-10,2022-03-19
313,"IT-HPAI(P)-2022-00020","PIEMONTE","CUNEO",44.39329625,7.551171632,"Broiler","H5N1",2022-02-24,2022-03-02,2022-03-23,2022-04-01
314,"IT-HPAI(P)-2022-00021","LOMBARDIA","COMO",45.8099912,9.085159546,"Multispecies/rural","H5N1",2022-02-28,2022-03-04,2022-03-25,2022-04-03
315,"IT-HPAI(P)-2022-00022","LOMBARDIA","CREMONA",45.13336675,10.02420865,"Multispecies**","H5N1",2022-02-04,NA,NA,NA
316,"IT-HPAI(P)-2022-00023","TOSCANA","FIRENZE",43.76923077,11.25588885,"Broiler/rural","H5N1",2022-03-17,2022-03-24,2022-04-14,2022-04-23
317,"IT-HPAI(P)-2022-00024","EMILIA ROMAGNA","RAVENNA",44.41722493,12.19913936,"Multispecies","H5N1",2022-04-01,2022-04-05,2022-04-26,2022-05-05
