"Start date collected","End date collected","Region","Country","Lat","Long","HPAI strain","WOAH Classification","New outbreaks","Cumulative outbreaks"
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Domestic birds",5,5
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Wild birds",5,5
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Americas","Canada",56.1304,106.3468,"A(H5Nx)","Wild birds",0,0
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5N1)","Domestic birds",22,22
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5N2)","Domestic birds",0,0
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5N5)","Domestic birds",0,0
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5N8)","Domestic birds",0,0
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5N1)","Wild birds",15,15
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5N8)","Wild birds",0,0
2021-12-09,2022-03-15,"Americas","United States of America",37.0902,95.7129,"A(H5Nx)","Wild birds",0,0
2022-03-16,2022-06-10,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Domestic birds",88,93
2022-03-16,2022-06-10,"Americas","Canada",56.1304,106.3468,"A(H5N2)","Domestic birds",0,0
2022-03-16,2022-06-10,"Americas","Canada",56.1304,106.3468,"A(H5N8)","Domestic birds",0,0
2022-03-16,2022-06-10,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Wild birds",10,15
2022-03-16,2022-06-10,"Americas","Canada",56.1304,106.3468,"A(H5N8)","Wild birds",0,0
2022-03-16,2022-06-10,"Americas","Canada",56.1304,106.3468,"A(H5Nx)","Wild birds",0,0
2022-03-16,2022-06-10,"Americas","United States of America",37.0902,95.7129,"A(H5N1)","Domestic birds",311,333
2022-03-16,2022-06-10,"Americas","United States of America",37.0902,95.7129,"A(H5N2)","Domestic birds",0,0
2022-03-16,2022-06-10,"Americas","United States of America",37.0902,95.7129,"A(H5N8)","Domestic birds",0,0
2022-03-16,2022-06-10,"Americas","United States of America",37.0902,95.7129,"A(H5N1)","Wild birds",46,61
2022-03-16,2022-06-10,"Americas","United States of America",37.0902,95.7129,"A(H5N8)","Wild birds",0,0
2022-03-16,2022-06-10,"Americas","United States of America",37.0902,95.7129,"A(H5Nx)","Wild birds",0,0
2022-06-11,2022-09-09,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Domestic birds",9,102
2022-06-11,2022-09-09,"Americas","Canada",56.1304,106.3468,"A(H5N2)","Domestic birds",0,0
2022-06-11,2022-09-09,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Wild birds",1,16
2022-06-11,2022-09-09,"Americas","Canada",56.1304,106.3468,"A(H5Nx)","Wild birds",0,0
2022-06-11,2022-09-09,"Americas","United States of America",37.0902,95.7129,"A(H5N1)","Domestic birds",44,377
2022-06-11,2022-09-09,"Americas","United States of America",37.0902,95.7129,"A(H5N2)","Domestic birds",0,0
2022-06-11,2022-09-09,"Americas","United States of America",37.0902,95.7129,"A(H5N1)","Wild birds",15,76
2022-06-11,2022-09-09,"Americas","United States of America",37.0902,95.7129,"A(H5Nx)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Domestic birds",93,195
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(H5N2)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(H5N4)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(Not typed)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(H5N1)","Wild birds",0,16
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(H5N2)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Canada",56.1304,106.3468,"A(Not typed)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(H5N1)","Domestic birds",18,18
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(H5N2)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(H5N4)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(Not typed)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(H5N1)","Wild birds",1,1
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(H5N2)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Colombia",4.5709,74.2973,"A(Not typed)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(H5N1)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(H5N2)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(H5N4)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(Not typed)","Domestic birds",1,1
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(H5N1)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(H5N2)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Ecuador",1.8312,78.1834,"A(Not typed)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(H5N1)","Domestic birds",4,4
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(H5N2)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(H5N4)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(Not typed)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(H5N1)","Wild birds",2,2
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(H5N2)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Mexico",23.6345,102.5528,"A(Not typed)","Wild birds",0,0
2022-09-10,2022-12-02,"Americas","Peru",9.19,75.0152,"A(H5N1)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Peru",9.19,75.0152,"A(H5N2)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Peru",9.19,75.0152,"A(H5N4)","Domestic birds",0,0
2022-09-10,2022-12-02,"Americas","Peru",9.19,75.0152,"A(Not typed)","Domestic birds",0,0
