"Confirmed date","Country","HPAI strain","WOAH Classification","Cases"
2021-11-05,"Ireland","H5N1","Wild birds",1
2021-11-05,"Germany","H5N1","Captive birds",1
2021-11-05,"Germany","H5N1","Wild birds",10
2021-11-05,"Denmark","H5N1","Wild birds",3
2021-11-06,"Poland","H5N1","Farm",1
2021-11-06,"Germany","H5N1","Farm",1
2021-11-08,"The Netherlands","H5N1","Farm",1
2021-11-08,"Poland","H5N1","Farm",2
2021-11-08,"Italy","H5N1","Backyard",1
2021-11-08,"Italy","H5N1","Farm",8
2021-11-08,"Germany","H5N1","Farm",1
2021-11-08,"Estonia","H5N1","Wild birds",1
2021-11-09,"The Netherlands","H5N1","Wild birds",4
2021-11-09,"Poland","H5N1","Farm",1
2021-11-09,"Poland","H5N1","Wild birds",1
2021-11-09,"Italy","H5N1","Farm",3
2021-11-09,"Germany","H5N1","Farm",1
2021-11-09,"Germany","H5N1","Wild birds",21
2021-11-09,"Denmark","H5N1","Wild birds",2
2021-11-09,"Germany","H5","Wild birds",2
2021-11-09,"The Netherlands","H5N8","Wild birds",1
2021-11-10,"Germany","H5N1","Wild birds",11
2021-11-10,"Finland","H5N1","Wild birds",3
2021-11-11,"Sweden","H5N1","Wild birds",2
2021-11-11,"Poland","H5N1","Farm",1
2021-11-11,"Italy","H5N1","Backyard",1
2021-11-11,"Italy","H5N1","Farm",1
2021-11-11,"Ireland","H5N1","Wild birds",2
2021-11-11,"Germany","H5N1","Farm",2
2021-11-11,"Germany","H5N1","Wild birds",12
2021-11-12,"The Netherlands","H5N1","Captive birds",1
2021-11-12,"The Netherlands","H5N1","Wild birds",1
2021-11-12,"Norway","H5N1","Farm",1
2021-11-12,"Italy","H5N1","Farm",3
2021-11-12,"Ireland","H5N1","Wild birds",2
2021-11-12,"Germany","H5N1","Farm",2
2021-11-12,"Germany","H5N1","Wild birds",16
2021-11-12,"Denmark","H5N1","Wild birds",2
2021-11-12,"Czech Republic","H5N1","Backyard",1
2021-11-12,"Belgium","H5N1","Backyard",1
2021-11-12,"Hungary","H5","Wild birds",1
2021-11-13,"The Netherlands","H5N1","Captive birds",1
2021-11-13,"Poland","H5N1","Farm",2
2021-11-13,"Italy","H5N1","Farm",5
2021-11-13,"Germany","H5N1","Farm",1
