"Confirmed date","Country","HPAI strain","WOAH Classification","Cases"
2022-01-07,"Hungary","H5N1","Wild birds",1
2022-01-07,"Germany","H5N1","Wild birds",62
2022-01-07,"France","H5N1","Farm",6
2022-01-07,"France","H5N1","Wild birds",1
2022-01-07,"Belgium","H5N1","Captive birds",1
2022-01-07,"Belgium","H5N1","Wild birds",9
2022-01-07,"Austria","H5N1","Wild birds",2
2022-01-09,"Hungary","H5N1","Farm",1
2022-01-09,"France","H5N1","Captive birds",1
2022-01-09,"France","H5N1","Farm",22
2022-01-10,"Portugal","H5N1","Wild birds",1
2022-01-10,"Poland","H5N1","Farm",5
2022-01-10,"Poland","H5N1","Wild birds",2
2022-01-10,"Italy","H5N1","Backyard",1
2022-01-10,"Germany","H5N1","Wild birds",37
2022-01-10,"France","H5N1","Farm",13
2022-01-10,"Austria","H5N1","Wild birds",1
2022-01-11,"The Netherlands","H5N1","Wild birds",13
2022-01-11,"Sweden","H5N1","Wild birds",2
2022-01-11,"Slovenia","H5N1","Wild birds",5
2022-01-11,"Portugal","H5N1","Wild birds",1
2022-01-11,"Poland","H5N1","Farm",1
2022-01-11,"Poland","H5N1","Wild birds",2
2022-01-11,"Hungary","H5N1","Wild birds",1
2022-01-11,"Germany","H5N1","Wild birds",13
2022-01-11,"France","H5N1","Farm",26
2022-01-11,"Denmark","H5N1","Wild birds",1
2022-01-12,"Bulgaria","H5","Farm",1
2022-01-12,"France","H5","Wild birds",1
2022-01-12,"Poland","H5N1","Wild birds",2
2022-01-12,"Hungary","H5N1","Farm",1
2022-01-12,"Hungary","H5N1","Wild birds",1
2022-01-12,"Germany","H5N1","Wild birds",60
2022-01-12,"France","H5N1","Farm",22
2022-01-12,"Denmark","H5N1","Wild birds",4
2022-01-12,"Austria","H5N1","Wild birds",2
2022-01-13,"The Netherlands","H5N1","Wild birds",10
2022-01-13,"Slovenia","H5N1","Wild birds",5
2022-01-13,"Slovakia","H5N1","Wild birds",1
2022-01-13,"Poland","H5N1","Farm",1
2022-01-13,"Germany","H5N1","Wild birds",2
2022-01-13,"France","H5N1","Farm",13
2022-01-13,"Finland","H5N1","Wild birds",1
2022-01-13,"Czech Republic","H5N1","Backyard",1
2022-01-13,"Czech Republic","H5N1","Wild birds",1
2022-01-14,"Denmark","H5N8","Wild birds",1
2022-01-14,"The Netherlands","H5N1","Wild birds",20
2022-01-14,"Spain","H5N1","Wild birds",1
2022-01-14,"Portugal","H5N1","Captive birds",1
2022-01-14,"Poland","H5N1","Wild birds",1
2022-01-14,"Norway","H5N1","Wild birds",2
2022-01-14,"Italy","H5N1","Backyard",1
2022-01-14,"Italy","H5N1","Farm",1
2022-01-14,"Ireland","H5N1","Wild birds",1
2022-01-14,"Germany","H5N1","Wild birds",22
2022-01-14,"France","H5N1","Farm",22
2022-01-14,"Finland","H5N1","Wild birds",1
2022-01-14,"Denmark","H5N1","Wild birds",10
2022-01-14,"Croatia","H5N1","Backyard",1
2022-01-14,"Croatia","H5N1","Captive birds",1
2022-01-15,"Germany","H5N1","Farm",1
2022-01-15,"France","H5N1","Farm",20
2022-01-15,"Denmark","H5N1","Captive birds",1
2022-01-16,"Slovenia","H5N1","Wild birds",2
2022-01-16,"Hungary","H5N1","Wild birds",1
2022-01-16,"France","H5N1","Captive birds",1
2022-01-16,"France","H5N1","Farm",9
2022-01-17,"Kosovo","H5N8","Backyard",1
2022-01-17,"Kosovo","H5N8","Farm",1
2022-01-17,"The Netherlands","H5N1","Captive birds",1
2022-01-17,"Spain","H5N1","Wild birds",1
2022-01-17,"Latvia","H5N1","Wild birds",2
2022-01-17,"Germany","H5N1","Wild birds",3
2022-01-17,"France","H5N1","Farm",1
2022-01-17,"France","H5N1","Wild birds",1
2022-01-17,"Denmark","H5N1","Wild birds",2
2022-01-17,"Belgium","H5N1","Wild birds",2
2022-01-17,"Austria","H5N1","Wild birds",1
2022-01-18,"The Netherlands","H5N1","Captive birds",1
2022-01-18,"The Netherlands","H5N1","Wild birds",25
2022-01-18,"Spain","H5N1","Farm",1
2022-01-18,"Slovenia","H5N1","Wild birds",1
2022-01-18,"Portugal","H5N1","Wild birds",1
2022-01-18,"Poland","H5N1","Farm",2
2022-01-18,"Hungary","H5N1","Farm",1
2022-01-18,"Germany","H5N1","Backyard",1
2022-01-18,"Germany","H5N1","Wild birds",33
2022-01-18,"France","H5N1","Farm",16
2022-01-18,"Denmark","H5N1","Wild birds",6
2022-01-18,"Croatia","H5N1","Wild birds",1
2022-01-19,"Spain","H5N1","Wild birds",1
2022-01-19,"Slovenia","H5N1","Wild birds",3
2022-01-19,"Poland","H5N1","Wild birds",1
2022-01-19,"Germany","H5N1","Wild birds",11
2022-01-19,"France","H5N1","Farm",15
2022-01-20,"France","H5","Farm",1
2022-01-20,"Germany","H5N1","Backyard",1
2022-01-20,"Germany","H5N1","Wild birds",7
2022-01-20,"France","H5N1","Farm",6
2022-01-20,"Austria","H5N1","Captive birds",1
2022-01-21,"The Netherlands","H5N1","Wild birds",13
2022-01-21,"Sweden","H5N1","Wild birds",2
2022-01-21,"Poland","H5N1","Wild birds",1
2022-01-21,"Moldova","H5N1","Backyard",1
2022-01-21,"Hungary","H5N1","Wild birds",2
2022-01-21,"Germany","H5N1","Farm",1
2022-01-21,"Germany","H5N1","Wild birds",22
2022-01-21,"France","H5N1","Captive birds",1
2022-01-21,"France","H5N1","Farm",4
2022-01-21,"France","H5N1","Wild birds",1
2022-01-21,"Belgium","H5N1","Wild birds",3
2022-01-22,"Germany","H5N1","Wild birds",1
2022-01-22,"France","H5N1","Farm",6
2022-01-22,"France","H5N1","Wild birds",1
2022-01-23,"The Netherlands","H5N1","Farm",1
2022-01-23,"France","H5N1","Farm",15
2022-01-24,"The Netherlands","H5N1","Farm",2
2022-01-24,"The Netherlands","H5N1","Wild birds",1
2022-01-24,"Germany","H5N1","Captive birds",1
2022-01-24,"Germany","H5N1","Farm",1
2022-01-24,"Germany","H5N1","Wild birds",8
2022-01-24,"France","H5N1","Farm",3
2022-01-24,"Czech Republic","H5N1","Farm",1
2022-01-24,"Austria","H5N1","Captive birds",1
2022-01-25,"Bulgaria","H5","Backyard",1
2022-01-25,"The Netherlands","H5N1","Farm",1
2022-01-25,"Sweden","H5N1","Wild birds",1
2022-01-25,"Poland","H5N1","Farm",1
2022-01-25,"Poland","H5N1","Wild birds",1
2022-01-25,"Italy","H5N1","Wild birds",1
2022-01-25,"France","H5N1","Farm",6
2022-01-25,"Denmark","H5N1","Wild birds",7
2022-01-25,"Austria","H5N1","Wild birds",1
2022-01-26,"France","H5","Farm",3
2022-01-26,"Poland","H5N1","Farm",1
2022-01-26,"Ireland","H5N1","Wild birds",1
2022-01-26,"Germany","H5N1","Wild birds",6
2022-01-26,"France","H5N1","Farm",8
2022-01-26,"France","H5N1","Wild birds",2
2022-01-26,"FInland","H5N1","Wild birds",1
2022-01-26,"Austria","H5N1","Wild birds",1
2022-01-27,"France","H5","Farm",2
2022-01-27,"The Netherlands","H5N1","Wild birds",16
2022-01-27,"Spain","H5N1","Wild birds",2
2022-01-27,"Slovenia","H5N1","Wild birds",1
2022-01-27,"Poland","H5N1","Wild birds",1
2022-01-27,"Hungary","H5N1","Farm",1
2022-01-27,"Germany","H5N1","Backyard",1
2022-01-27,"Germany","H5N1","Wild birds",14
2022-01-27,"France","H5N1","Captive birds",2
2022-01-27,"France","H5N1","Farm",8
2022-01-28,"Bulgaria","H5","Wild birds",1
2022-01-28,"France","H5","Farm",1
2022-01-28,"The Netherlands","H5N1","Wild birds",8
2022-01-28,"Poland","H5N1","Farm",1
2022-01-28,"Poland","H5N1","Wild birds",2
2022-01-28,"Ireland","H5N1","Wild birds",1
2022-01-28,"Germany","H5N1","Wild birds",33
2022-01-28,"France","H5N1","Captive birds",2
2022-01-28,"France","H5N1","Farm",11
2022-01-28,"Denmark","H5N1","Wild birds",1
2022-01-28,"Croatia","H5N1","Wild birds",1
2022-01-29,"France","H5","Farm",3
2022-01-29,"France","H5N1","Farm",2
2022-01-30,"France","H5","Farm",1
2022-01-30,"The Netherlands","H5N1","Farm",1
2022-01-30,"The Netherlands","H5N1","Wild birds",5
2022-01-30,"Hungary","H5N1","Wild birds",1
2022-01-30,"France","H5N1","Farm",5
2022-01-31,"The Netherlands","H5N1","Wild birds",18
2022-01-31,"Italy","H5N1","Wild birds",1
2022-01-31,"Germany","H5N1","Wild birds",12
2022-01-31,"Bulgaria","H5N1","Farm",1
2022-01-31,"Belgium","H5N1","Wild birds",1
2022-01-31,"Hungary","H5N1","Wild birds",1
2022-02-01,"Spain","H5","Wild birds",1
2022-02-01,"The Netherlands","H5N1","Farm",1
2022-02-01,"Spain","H5N1","Wild birds",1
2022-02-01,"Romania","H5N1","Wild birds",1
2022-02-01,"Germany","H5N1","Backyard",1
2022-02-01,"Germany","H5N1","Wild birds",7
2022-02-01,"France","H5N1","Farm",8
2022-02-01,"France","H5N1","Wild birds",1
2022-02-01,"Belgium","H5N1","Wild birds",7
2022-02-01,"Austria","H5N1","Wild birds",1
2022-02-02,"The Netherlands","H5N1","Farm",1
2022-02-02,"Sweden","H5N1","Wild birds",2
2022-02-02,"Spain","H5N1","Farm",1
2022-02-02,"Hungary","H5N1","Wild birds",4
2022-02-02,"Germany","H5N1","Wild birds",2
2022-02-02,"France","H5N1","Farm",10
2022-02-02,"Denmark","H5N1","Wild birds",4
2022-02-03,"Germany","H5N2","Wild birds",2
2022-02-03,"The Netherlands","H5N1","Farm",1
2022-02-03,"Germany","H5N1","Captive birds",1
2022-02-03,"Germany","H5N1","Wild birds",8
2022-02-03,"France","H5N1","Captive birds",1
2022-02-03,"France","H5N1","Farm",2
2022-02-03,"Belgium","H5N1","Wild birds",1
2022-02-04,"The Netherlands","H5N1","Farm",1
2022-02-04,"Spain","H5N1","Wild birds",2
2022-02-04,"Portugal","H5N1","Farm",1
2022-02-04,"Poland","H5N1","Wild birds",1
2022-02-04,"Italy","H5N1","Backyard",1
2022-02-04,"Italy","H5N1","Captive birds",1
2022-02-04,"Germany","H5N1","Farm",1
2022-02-04,"Germany","H5N1","Wild birds",28
2022-02-04,"Belgium","H5","Wild birds",1
2022-02-04,"France","H5N1","Farm",1
2022-02-04,"Austria","H5N1","Wild birds",1
2022-02-04,"Czech Republic","H5N1","Wild birds",1
2022-02-05,"The Netherlands","H5N1","Wild birds",1
2022-02-05,"France","H5N1","Wild birds",2
2022-02-05,"The Netherlands","H5","Wild birds",1
2022-02-06,"Poland","H5N1","Farm",2
2022-02-07,"The Netherlands","H5N1","Wild birds",13
2022-02-07,"Slovakia","H5N1","Wild birds",1
2022-02-07,"Romania","H5N1","Wild birds",1
2022-02-07,"Germany","H5N1","Wild birds",3
2022-02-07,"France","H5N1","Captive birds",2
2022-02-07,"Denmark","H5N1","Wild birds",1
2022-02-08,"The Netherlands","H5N1","Farm",2
2022-02-08,"Sweden","H5N1","Wild birds",3
2022-02-08,"Portugal","H5N1","Farm",1
2022-02-08,"Northern Ireland","H5N1","Backyard",1
2022-02-08,"Germany","H5N1","Wild birds",6
2022-02-08,"France","H5N1","Farm",1
2022-02-08,"Czech Republic","H5N1","Backyard",1
2022-02-08,"Belgium","H5N1","Wild birds",8
2022-02-08,"Belgium","H5","Wild birds",1
2022-02-09,"The Netherlands","H5N1","Wild birds",13
2022-02-09,"Spain","H5N1","Farm",2
2022-02-09,"Spain","H5N1","Wild birds",1
2022-02-09,"Poland","H5N1","Farm",1
2022-02-09,"Italy","H5N1","Farm",1
2022-02-09,"Germany","H5N1","Wild birds",5
2022-02-09,"Denmark","H5N1","Wild birds",4
2022-02-09,"Belgium","H5N1","Wild birds",3
2022-02-10,"The Netherlands","H5N1","Wild birds",10
2022-02-10,"Spain","H5N1","Farm",2
2022-02-10,"Spain","H5N1","Wild birds",1
2022-02-10,"Romania","H5N1","Wild birds",2
2022-02-10,"Portugal","H5N1","Farm",1
2022-02-10,"Luxembourg","H5N1","Wild birds",1
2022-02-10,"Ireland","H5N1","Wild birds",2
2022-02-10,"Germany","H5N1","Wild birds",11
2022-02-10,"France","H5N1","Captive birds",1
2022-02-10,"France","H5N1","Farm",1
2022-02-10,"France","H5N1","Wild birds",2
2022-02-10,"France","H5","Wild birds",1
2022-02-11,"Romania","H5N1","Backyard",1
2022-02-11,"Romania","H5N1","Wild birds",1
2022-02-11,"Italy","H5N1","Backyard",1
2022-02-11,"Hungary","H5N1","Captive birds",1
2022-02-11,"Hungary","H5N1","Wild birds",1
2022-02-11,"Germany","H5N1","Farm",1
2022-02-11,"Germany","H5N1","Wild birds",10
2022-02-11,"France","H5N1","Farm",1
2022-02-11,"Denmark","H5N1","Farm",1
2022-02-11,"Czech Republic","H5N1","Backyard",1
2022-02-11,"Belgium","H5N1","Wild birds",1
2022-02-12,"France","H5N1","Farm",2
2022-02-14,"The Netherlands","H5N1","Farm",1
2022-02-14,"Spain","H5N1","Farm",3
2022-02-14,"Spain","H5N1","Wild birds",2
2022-02-14,"Portugal","H5N1","Farm",1
2022-02-14,"Poland","H5N1","Farm",1
2022-02-14,"Germany","H5N1","Wild birds",19
2022-02-15,"The Netherlands","H5N1","Farm",1
2022-02-15,"The Netherlands","H5N1","Wild birds",3
2022-02-15,"Poland","H5N1","Farm",1
2022-02-15,"Germany","H5N1","Wild birds",8
2022-02-15,"France","H5N1","Farm",2
2022-02-15,"Denmark","H5N1","Wild birds",1
2022-02-16,"The Netherlands","H5N1","Wild birds",10
2022-02-16,"Poland","H5N1","Wild birds",3
2022-02-16,"Norway","H5N1","Wild birds",1
2022-02-16,"Lithuania","H5N1","Wild birds",2
2022-02-16,"Germany","H5N1","Farm",1
2022-02-16,"Germany","H5N1","Wild birds",4
2022-02-16,"France","H5N1","Farm",2
2022-02-16,"Austria","H5N1","Wild birds",1
2022-02-17,"Spain","H5N1","Farm",2
2022-02-17,"North Macedonia","H5N1","Wild birds",1
2022-02-17,"Italy","H5N1","Wild birds",2
2022-02-17,"Germany","H5N1","Wild birds",5
2022-02-17,"France","H5N1","Farm",5
2022-02-17,"Denmark","H5N1","Wild birds",1
2022-02-17,"Austria","H5N1","Wild birds",1
2022-02-17,"Spain","H5","Wild birds",1
2022-02-18,"The Netherlands","H5N1","Wild birds",20
2022-02-18,"Spain","H5N1","Farm",4
2022-02-18,"Spain","H5N1","Wild birds",1
2022-02-18,"Portugal","H5N1","Captive birds",1
2022-02-18,"Poland","H5N1","Backyard",1
2022-02-18,"Poland","H5N1","Wild birds",1
2022-02-18,"Italy","H5N1","Backyard",1
2022-02-18,"Hungary","H5N1","Wild birds",1
2022-02-18,"Germany","H5N1","Wild birds",4
2022-02-18,"France","H5N1","Captive birds",1
2022-02-18,"France","H5N1","Farm",1
2022-02-18,"Denmark","H5N1","Wild birds",4
2022-02-19,"Portugal","H5N1","Farm",1
2022-02-19,"Germany","H5N1","Farm",1
2022-02-20,"The Netherlands","H5N1","Farm",1
2022-02-20,"Poland","H5N1","Farm",1
2022-02-20,"Germany","H5N1","Wild birds",2
2022-02-20,"Germany","H5","Wild birds",1
2022-02-21,"Spain","H5N1","Farm",1
2022-02-21,"Spain","H5N1","Wild birds",1
2022-02-21,"North Macedonia","H5N1","Wild birds",1
2022-02-21,"Germany","H5N1","Wild birds",26
2022-02-21,"France","H5N1","Farm",1
2022-02-21,"Estonia","H5N1","Wild birds",1
2022-02-22,"Germany","H5N1","Wild birds",8
2022-02-22,"France","H5N1","Farm",1
2022-02-22,"Czech Republic","H5N1","Backyard",1
2022-02-22,"Croatia","H5N1","Wild birds",1
2022-02-23,"The Netherlands","H5N1","Captive birds",1
2022-02-23,"The Netherlands","H5N1","Wild birds",11
2022-02-23,"Switzerland","H5N1","Captive birds",1
2022-02-23,"Spain","H5N1","Wild birds",1
2022-02-23,"Romania","H5N1","Wild birds",1
2022-02-23,"Poland","H5N1","Wild birds",1
2022-02-23,"Italy","H5N1","Wild birds",2
2022-02-23,"Hungary","H5N1","Wild birds",2
2022-02-23,"Germany","H5N1","Wild birds",6
2022-02-23,"France","H5N1","Captive birds",1
2022-02-23,"France","H5N1","Farm",3
2022-02-23,"Denmark","H5N1","Wild birds",3
2022-02-23,"Belgium","H5N1","Wild birds",2
2022-02-24,"The Netherlands","H5N1","Farm",1
2022-02-24,"Sweden","H5N1","Wild birds",2
2022-02-24,"Spain","H5N1","Farm",2
2022-02-24,"Spain","H5N1","Wild birds",1
2022-02-24,"France","H5N1","Farm",2
2022-02-24,"France","H5N1","Wild birds",1
2022-02-24,"Serbia","H5N1","Farm",2
2022-02-24,"Romania","H5N1","Wild birds",1
2022-02-24,"Italy","H5N1","Farm",1
2022-02-24,"Ireland","H5N1","Wild birds",1
2022-02-24,"Hungary","H5N1","Wild birds",1
2022-02-24,"Germany","H5N1","Backyard",1
2022-02-24,"Germany","H5N1","Wild birds",10
2022-02-25,"Serbia","H5N1","Wild birds",1
2022-02-25,"Portugal","H5N1","Wild birds",1
2022-02-25,"Germany","H5N1","Farm",1
2022-02-25,"Germany","H5N1","Wild birds",5
2022-02-25,"France","H5N1","Captive birds",1
2022-02-25,"France","H5N1","Farm",1
2022-02-25,"Ireland","H5","Wild birds",2
2022-02-26,"France","H5N1","Farm",2
2022-02-27,"The Netherlands","H5N1","Farm",1
2022-02-27,"France","H5N1","Farm",9
2022-02-28,"The Netherlands","H5N1","Captive birds",2
2022-02-28,"The Netherlands","H5N1","Farm",2
2022-02-28,"Spain","H5N1","Wild birds",1
2022-02-28,"Portugal","H5N1","Farm",1
2022-02-28,"Italy","H5N1","Backyard",1
2022-02-28,"Germany","H5N1","Farm",1
2022-02-28,"Germany","H5N1","Wild birds",13
2022-02-28,"France","H5N1","Farm",11
2022-02-28,"Belgium","H5N1","Wild birds",2
2022-03-01,"The Netherlands","H5N1","Farm",1
2022-03-01,"Spain","H5N1","Captive birds",1
2022-03-01,"Spain","H5N1","Farm",5
2022-03-01,"Spain","H5N1","Wild birds",3
2022-03-01,"Germany","H5N1","Wild birds",2
2022-03-01,"France","H5N1","Farm",13
2022-03-01,"France","H5N1","Wild birds",1
2022-03-02,"Sweden","H5N1","Backyard",1
2022-03-02,"Spain","H5N1","Wild birds",1
2022-03-02,"Germany","H5N1","Farm",1
2022-03-02,"Germany","H5N1","Wild birds",5
2022-03-02,"France","H5N1","Farm",13
2022-03-02,"Poland","H5N2","Backyard",1
2022-03-03,"The Netherlands","H5N1","Farm",1
2022-03-03,"The Netherlands","H5N1","Wild birds",15
2022-03-03,"Spain","H5N1","Farm",1
2022-03-03,"Portugal","H5N1","Captive birds",1
2022-03-03,"Poland","H5N1","Farm",1
2022-03-03,"Germany","H5N1","Wild birds",10
2022-03-03,"France","H5N1","Farm",21
2022-03-03,"Denmark","H5N1","Wild birds",2
2022-03-04,"The Netherlands","H5N1","Wild birds",1
2022-03-04,"Spain","H5N1","Farm",1
2022-03-04,"Ireland","H5N1","Wild birds",1
2022-03-04,"Germany","H5N1","Captive birds",1
2022-03-04,"Germany","H5N1","Wild birds",17
2022-03-04,"France","H5N1","Farm",17
2022-03-04,"Denmark","H5N1","Wild birds",1
2022-03-05,"The Netherlands","H5N1","Farm",1
2022-03-05,"Poland","H5N1","Farm",1
2022-03-05,"France","H5N1","Farm",7
2022-03-06,"France","H5N1","Farm",34
2022-03-07,"The Netherlands","H5N1","Wild birds",8
2022-03-07,"Spain","H5N1","Wild birds",2
2022-03-07,"Greece","H5N1","Wild birds",2
2022-03-07,"Germany","H5N1","Wild birds",11
2022-03-07,"France","H5N1","Farm",53
2022-03-07,"France","H5N1","Wild birds",1
2022-03-07,"Denmark","H5N1","Wild birds",1
2022-03-07,"Belgium","H5N1","Wild birds",1
2022-03-08,"Spain","H5N1","Farm",2
2022-03-08,"Spain","H5N1","Wild birds",1
2022-03-08,"Germany","H5N1","Wild birds",3
2022-03-08,"France","H5N1","Farm",20
2022-03-08,"Denmark","H5N1","Wild birds",1
2022-03-08,"Czech Republic","H5N1","Backyard",1
2022-03-09,"Romania","H5N1","Wild birds",1
2022-03-09,"Poland","H5N1","Farm",1
2022-03-09,"Germany","H5N1","Farm",1
2022-03-09,"Germany","H5N1","Wild birds",1
2022-03-09,"France","H5N1","Captive birds",1
2022-03-09,"France","H5N1","Farm",29
2022-03-09,"Denmark","H5N1","Wild birds",1
2022-03-10,"The Netherlands","H5N1","Farm",1
2022-03-10,"The Netherlands","H5N1","Wild birds",1
2022-03-10,"Spain","H5N1","Farm",2
2022-03-10,"Portugal","H5N1","Wild birds",1
2022-03-10,"Germany","H5N1","Wild birds",4
2022-03-10,"France","H5N1","Farm",39
2022-03-11,"The Netherlands","H5N1","Wild birds",1
2022-03-11,"Serbia","H5N1","Wild birds",1
2022-03-11,"Ireland","H5N1","Wild birds",2
2022-03-11,"Germany","H5N1","Wild birds",5
2022-03-11,"France","H5N1","Farm",44
2022-03-11,"France","H5N1","Wild birds",1
2022-03-11,"Denmark","H5N1","Wild birds",2
2022-03-11,"Belgium","H5N1","Captive birds",1
2022-03-11,"Denmark","H5","Wild birds",1
2022-03-12,"The Netherlands","H5N1","Wild birds",1
2022-03-12,"France","H5N1","Farm",34
2022-03-13,"France","H5N1","Backyard",1
2022-03-13,"France","H5N1","Farm",29
2022-03-14,"The Netherlands","H5N1","Wild birds",8
2022-03-14,"Spain","H5N1","Wild birds",1
2022-03-14,"Germany","H5N1","Wild birds",13
2022-03-14,"France","H5N1","Captive birds",1
2022-03-14,"France","H5N1","Farm",35
2022-03-15,"Switzerland","H5N1","Wild birds",1
2022-03-15,"Spain","H5N1","Farm",1
2022-03-15,"Portugal","H5N1","Backyard",1
2022-03-15,"Germany","H5N1","Wild birds",2
2022-03-15,"France","H5N1","Farm",2
2022-03-15,"Denmark","H5N1","Wild birds",1
2022-03-15,"Austria","H5N1","Wild birds",1
2022-03-15,"The Netherlands","H5","Wild birds",1
2022-03-16,"Romania","H5N1","Wild birds",1
2022-03-16,"Ireland","H5N1","Wild birds",2
2022-03-16,"Germany","H5N1","Captive birds",1
2022-03-16,"Germany","H5N1","Farm",1
2022-03-16,"Germany","H5N1","Wild birds",1
2022-03-16,"France","H5N1","Farm",28
2022-03-16,"Belgium","H5N1","Wild birds",4
2022-03-16,"The Netherlands","H5","Wild birds",3
2022-03-17,"Spain","H5N1","Wild birds",1
2022-03-17,"Greece","H5N1","Wild birds",7
2022-03-17,"Germany","H5N1","Captive birds",1
2022-03-17,"Germany","H5N1","Wild birds",9
2022-03-17,"France","H5N1","Farm",46
2022-03-17,"Italy","H5","Backyard",1
2022-03-18,"The Netherlands","H5N1","Captive birds",1
2022-03-18,"Romania","H5N1","Farm",1
2022-03-18,"Romania","H5N1","Wild birds",2
2022-03-18,"France","H5N1","Captive birds",1
2022-03-18,"France","H5N1","Farm",47
2022-03-18,"The Netherlands","H5","Wild birds",14
2022-03-19,"Germany","H5N1","Wild birds",5
2022-03-19,"France","H5N1","Farm",4
2022-03-19,"Albania","H5N8","Farm",1
2022-03-21,"The Netherlands","H5N1","Wild birds",1
2022-03-21,"Spain","H5N1","Farm",1
2022-03-21,"Germany","H5N1","Farm",1
2022-03-21,"Germany","H5N1","Wild birds",10
2022-03-21,"France","H5N1","Farm",61
2022-03-22,"Germany","H5N1","Wild birds",2
2022-03-22,"France","H5N1","Farm",1
2022-03-22,"France","H5N1","Wild birds",2
2022-03-22,"Austria","H5N1","Wild birds",1
2022-03-22,"Albania","H5N8","Farm",1
2022-03-23,"The Netherlands","H5N1","Captive birds",2
2022-03-23,"The Netherlands","H5N1","Wild birds",4
2022-03-23,"Spain","H5N1","Wild birds",1
2022-03-23,"Germany","H5N1","Wild birds",4
2022-03-23,"France","H5N1","Farm",30
2022-03-23,"Estonia","H5N1","Wild birds",1
2022-03-23,"Denmark","H5N1","Wild birds",2
2022-03-23,"The Netherlands","H5","Wild birds",1
2022-03-23,"Albania","H5","Farm",1
2022-03-23,"Albania","H5N8","Farm",1
2022-03-24,"Germany","H5N1","Farm",1
2022-03-24,"France","H5N1","Captive birds",3
2022-03-24,"France","H5N1","Farm",23
2022-03-24,"Albania","H5N1","Captive birds",1
2022-03-24,"Germany","H5N1","Wild birds",1
2022-03-24,"Spain","H5N1","Wild birds",1
2022-03-24,"Sweden","H5N1","Wild birds",2
2022-03-25,"France","H5N1","Farm",13
2022-03-25,"Finland","H5N1","Wild birds",2
2022-03-25,"Germany","H5N1","Backyard",1
2022-03-25,"Germany","H5N1","Wild birds",22
2022-03-25,"Ireland","H5N1","Wild birds",1
2022-03-25,"Germany","H5","Wild birds",1
2022-03-26,"France","H5N1","Farm",11
2022-03-27,"France","H5N1","Farm",5
2022-03-27,"Romania","H5N1","Backyard",1
2022-03-28,"France","H5N1","Farm",18
2022-03-28,"Denmark","H5N1","Wild birds",2
2022-03-28,"Germany","H5N1","Wild birds",1
2022-03-28,"Greece","H5N1","Wild birds",1
2022-03-28,"The Netherlands","H5N1","Wild birds",10
2022-03-28,"Belgium","H5","Wild birds",1
2022-03-28,"Bulgaria","H5N1","Farm",1
2022-03-29,"France","H5N1","Farm",9
2022-03-29,"Albania","H5N1","Wild birds",1
2022-03-29,"Belgium","H5N1","Farm",1
2022-03-29,"Denmark","H5N1","Captive birds",1
2022-03-29,"Germany","H5N1","Wild birds",2
2022-03-30,"France","H5N1","Farm",23
2022-03-30,"Germany","H5N1","Wild birds",7
2022-03-30,"The Netherlands","H5N1","Wild birds",4
2022-03-31,"France","H5N1","Captive birds",1
2022-03-31,"France","H5N1","Farm",20
2022-03-31,"France","H5N1","Wild birds",2
2022-03-31,"Denmark","H5N1","Wild birds",2
2022-03-31,"Germany","H5N1","Wild birds",4
2022-03-31,"The Netherlands","H5N1","Wild birds",5
2022-03-31,"Albania","H5N8","Farm",1
2022-04-01,"The Netherlands","H5N1","Captive birds",1
2022-04-01,"The Netherlands","H5N1","Wild birds",1
2022-04-01,"Sweden","H5N1","Wild birds",1
2022-04-01,"Norway","H5N1","Wild birds",1
2022-04-01,"Italy","H5N1","Farm",1
2022-04-01,"Hungary","H5N1","Wild birds",1
2022-04-01,"Germany","H5N1","Wild birds",5
2022-04-01,"France","H5N1","Farm",11
2022-04-01,"France","H5N1","Wild birds",2
2022-04-02,"France","H5N1","Farm",22
2022-04-02,"France","H5","Wild birds",1
2022-04-02,"France","H5N1","Wild birds",1
2022-04-03,"France","H5N1","Farm",3
2022-04-04,"Albania","H5N8","Farm",1
2022-04-04,"Serbia","H5N1","Wild birds",1
2022-04-04,"Iceland","H5N1","Wild birds",1
2022-04-04,"Germany","H5N1","Wild birds",2
2022-04-04,"France","H5N1","Farm",18
2022-04-04,"France","H5N1","Wild birds",2
2022-04-05,"The Netherlands","H5N1","Captive birds",1
2022-04-05,"The Netherlands","H5N1","Wild birds",7
2022-04-05,"Spain","H5N1","Wild birds",1
2022-04-05,"Germany","H5N1","Farm",1
2022-04-05,"France","H5N1","Farm",12
2022-04-06,"Germany","H5N8","Wild birds",1
2022-04-06,"Norway","H5N5","Wild birds",2
2022-04-06,"Spain","H5N1","Wild birds",2
2022-04-06,"Lithuania","H5N1","Wild birds",1
2022-04-06,"France","H5N1","Farm",24
2022-04-06,"Denmark","H5N1","Wild birds",1
2022-04-06,"Austria","H5N1","Wild birds",1
2022-04-07,"The Netherlands","H5N1","Captive birds",1
2022-04-07,"The Netherlands","H5N1","Wild birds",2
2022-04-07,"Poland","H5N1","Wild birds",1
2022-04-07,"Greece","H5N1","Wild birds",2
2022-04-07,"Germany","H5N1","Wild birds",6
2022-04-07,"France","H5N1","Farm",2
2022-04-07,"Denmark","H5N1","Wild birds",1
2022-04-08,"Germany","H5N1","Wild birds",5
2022-04-08,"France","H5N1","Captive birds",1
2022-04-08,"France","H5N1","Farm",16
