"Country","Lat","Long","Year","Cases","Deaths","Source"
"Azerbaijan",40.1458586,45.1140253,2003,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2004,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2005,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2006,8,5,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2007,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2008,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2009,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2010,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2011,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2012,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2013,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2014,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2015,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2016,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2017,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2018,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2019,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2020,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2021,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2022,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Azerbaijan",40.1458586,45.1140253,2023,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Bangladesh",23.4843771,87.7023304,2003,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Bangladesh",23.4843771,87.7023304,2004,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Bangladesh",23.4843771,87.7023304,2005,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Bangladesh",23.4843771,87.7023304,2006,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
"Bangladesh",23.4843771,87.7023304,2007,0,0,"https://cdn.who.int/media/docs/default-source/2021-dha-docs/cumulative-number-of-confirmed-human-cases-for-avian-influenza-a(h5n1)-reported-to-who--2003-2023.pdf?sfvrsn=2f9445e2_1&download=true"
