"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
148,"IT-HPAI(P)-2021-00154","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2021-12-18,2022-01-19,2022-01-28
149,"IT-HPAI(P)-2021-00155","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-03,2021-12-29,2022-01-21,2022-01-30
150,"IT-HPAI(P)-2021-00156","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-12-03,2021-12-13,2022-01-29,2022-02-07
151,"IT-HPAI(P)-2021-00157","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2021-12-31,2022-01-21,2022-01-30
152,"IT-HPAI(P)-2021-00158","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-04,2021-12-22,2022-01-21,2022-01-30
153,"IT-HPAI(P)-2021-00159","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-04,2021-12-16,2022-01-26,2022-02-04
154,"IT-HPAI(P)-2021-00160","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-05,2021-12-18,2022-01-21,2022-01-30
155,"IT-HPAI(P)-2021-00161","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Broiler","H5N1",2021-12-04,2021-12-26,2022-01-16,2022-01-25
156,"IT-HPAI(P)-2021-00162","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-07,2021-12-31,2022-01-21,2022-01-30
157,"IT-HPAI(P)-2021-00166","EMILIA ROMAGNA",8,"RIMINI",99,"RN",44.06090087,12.5656295,"Multispecies/rural","H5N1",2021-12-04,2021-12-07,2021-12-28,2022-01-06
158,"IT-HPAI(P)-2021-00167","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-24,2022-01-21,2022-01-30
159,"IT-HPAI(P)-2021-00168","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-24,2022-02-19,2022-02-28
160,"IT-HPAI(P)-2021-00169","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-29,2022-01-21,2022-01-30
161,"IT-HPAI(P)-2021-00172","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-21,2022-02-04,2022-02-13
162,"IT-HPAI(P)-2021-00176","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-23,2022-01-19,2022-01-28
163,"IT-HPAI(P)-2021-00178","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-06,2021-12-28,2022-01-21,2022-01-30
164,"IT-HPAI(P)-2021-00179","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-30,2022-01-30,2022-02-08
165,"IT-HPAI(P)-2021-00188","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-06,2021-12-29,2022-01-21,2022-01-30
166,"IT-HPAI(P)-2021-00197","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-06,2021-12-14,2022-01-21,2022-01-30
167,"IT-HPAI(P)-2021-00201","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-06,2021-12-17,2022-01-18,2022-01-27
168,"IT-HPAI(P)-2021-00202","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-06,2021-12-23,2022-01-20,2022-01-29
169,"IT-HPAI(P)-2021-00203","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-07,2021-12-24,2022-01-14,2022-01-23
170,"IT-HPAI(P)-2021-00204","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-07,2021-12-17,2022-01-14,2022-01-23
171,"IT-HPAI(P)-2021-00205","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Turkey breeder","H5N1",2021-12-07,2021-12-24,2022-01-30,2022-02-08
172,"IT-HPAI(P)-2021-00206","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-07,2021-12-21,2022-01-27,2022-02-05
173,"IT-HPAI(P)-2021-00207","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Turkey breeder","H5N1",2021-12-07,2021-12-17,2022-01-18,2022-01-27
174,"IT-HPAI(P)-2021-00208","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-07,2021-12-22,2022-01-25,2022-02-03
175,"IT-HPAI(P)-2021-00209","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-08,2022-01-04,2022-01-25,2022-02-03
176,"IT-HPAI(P)-2021-00210","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-08,2021-12-24,2022-01-26,2022-02-04
177,"IT-HPAI(P)-2021-00211","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-07,2022-01-15,2022-02-05,2022-02-14
178,"IT-HPAI(P)-2021-00212","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Broiler","H5N1",2021-12-07,2021-12-28,2022-01-18,2022-01-27
179,"IT-HPAI(P)-2021-00213","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Broiler","H5N1",2021-12-07,2021-12-28,2022-01-18,2022-01-27
180,"IT-HPAI(P)-2021-00214","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-07,2022-01-14,2022-02-04,2022-02-13
181,"IT-HPAI(P)-2021-00215","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Meat turkey","H5N1",2021-12-07,2021-12-29,2022-01-19,2022-01-28
182,"IT-HPAI(P)-2021-00216","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-10,2021-12-26,2022-01-16,2022-01-25
183,"IT-HPAI(P)-2021-00217","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-09,2021-12-18,2022-01-21,2022-01-30
184,"IT-HPAI(P)-2021-00218","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-09,2021-12-31,2022-01-21,2022-01-30
185,"IT-HPAI(P)-2021-00219","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-09,2021-12-25,2022-01-19,2022-01-28
186,"IT-HPAI(P)-2021-00220","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-09,2022-01-05,2022-01-26,2022-02-04
187,"IT-HPAI(P)-2021-00221","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-09,2022-01-05,2022-01-26,2022-02-04
188,"IT-HPAI(P)-2021-00222","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Ducks","H5N1",2021-12-07,2021-12-09,2021-12-31,2022-01-09
189,"IT-HPAI(P)-2021-00223","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Broiler","H5N1",2021-12-11,2021-12-20,2022-01-10,2022-01-19
190,"IT-HPAI(P)-2021-00224","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-11,2021-12-23,2022-01-13,2022-01-22
191,"IT-HPAI(P)-2021-00225","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-11,2022-01-15,2022-02-05,2022-02-14
192,"IT-HPAI(P)-2021-00226","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Multispecies/rural","H5N1",2021-12-10,2021-12-16,2022-01-29,2022-02-07
193,"IT-HPAI(P)-2021-00227","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-10,2021-12-23,2022-01-25,2022-02-03
194,"IT-HPAI(P)-2021-00228","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-10,2021-12-22,2022-02-11,2022-02-20
195,"IT-HPAI(P)-2021-00229","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-10,2021-12-30,2022-02-11,2022-02-20
196,"IT-HPAI(P)-2021-00230","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-10,2022-01-06,2022-01-27,2022-02-05
197,"IT-HPAI(P)-2021-00231","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-10,2021-12-30,2022-01-20,2022-01-29
198,"IT-HPAI(P)-2021-00232","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-11,2021-12-29,2022-01-21,2022-01-30
199,"IT-HPAI(P)-2021-00233","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-11,2021-12-29,2022-01-25,2022-02-03
200,"IT-HPAI(P)-2021-00234","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-12,2021-12-29,2022-01-21,2022-01-30
201,"IT-HPAI(P)-2021-00235","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-10,2022-01-19,2022-02-09,2022-02-18
202,"IT-HPAI(P)-2021-00236","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Meat turkey","H5N1",2021-12-10,2021-12-24,2022-01-14,2022-01-23
203,"IT-HPAI(P)-2021-00237","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-10,2022-01-13,2022-02-03,2022-02-13
204,"IT-HPAI(P)-2021-00238","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-10,2021-12-29,2022-01-19,2022-01-28
205,"IT-HPAI(P)-2021-00239","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-13,2021-12-23,2022-02-02,2022-02-11
206,"IT-HPAI(P)-2021-00240","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-13,2021-12-31,2022-01-21,2022-01-30
207,"IT-HPAI(P)-2021-00241","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-13,2021-12-23,2022-01-13,2022-01-22
208,"IT-HPAI(P)-2021-00242","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-12,2021-12-19,2022-02-02,2022-02-11
209,"IT-HPAI(P)-2021-00243","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-13,2022-01-08,2022-01-29,2022-02-07
210,"IT-HPAI(P)-2021-00244","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-31,2022-01-21,2022-01-30
211,"IT-HPAI(P)-2021-00245","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-31,2022-01-21,2022-01-30
212,"IT-HPAI(P)-2021-00246","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-14,2022-01-23,2022-02-19,2022-02-28
213,"IT-HPAI(P)-2021-00247","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-14,2022-01-27,2022-02-19,2022-02-28
214,"IT-HPAI(P)-2021-00248","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-14,2022-01-26,2022-02-19,2022-02-28
215,"IT-HPAI(P)-2021-00249","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-14,2021-12-30,2022-02-11,2022-02-20
216,"IT-HPAI(P)-2021-00250","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-30,2022-01-21,2022-01-30
217,"IT-HPAI(P)-2021-00251","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-14,2021-12-21,2022-02-09,2022-02-18
218,"IT-HPAI(P)-2021-00252","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Pheasant","H5N1",2021-12-14,2021-12-18,2022-01-21,2022-01-30
219,"IT-HPAI(P)-2021-00253","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Game birds","H5N1",2021-12-14,2022-01-09,2022-01-30,2022-02-08
220,"IT-HPAI(P)-2021-00254","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-14,2022-01-13,2022-02-03,2022-02-12
221,"IT-HPAI(P)-2021-00255","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-14,2021-12-31,2022-01-21,2022-01-30
222,"IT-HPAI(P)-2021-00256","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-14,2021-12-29,2022-01-21,2022-01-30
223,"IT-HPAI(P)-2021-00257","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-14,2021-12-28,2022-01-29,2022-02-07
224,"IT-HPAI(P)-2021-00258","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-15,2022-01-01,2022-01-22,2022-01-31
225,"IT-HPAI(P)-2021-00259","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-15,2022-01-10,2022-01-31,2022-02-09
226,"IT-HPAI(P)-2021-00260","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-15,2022-01-14,2022-02-04,2022-02-13
227,"IT-HPAI(P)-2021-00261","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-15,2022-01-13,2022-02-03,2022-02-12
228,"IT-HPAI(P)-2021-00262","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Broiler","H5N1",2021-12-14,2021-12-24,2022-01-14,2022-01-23
229,"IT-HPAI(P)-2021-00263","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-15,2021-12-25,2022-01-20,2022-01-29
230,"IT-HPAI(P)-2021-00264","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-15,2021-12-31,2022-01-21,2022-01-30
231,"IT-HPAI(P)-2021-00265","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-15,2021-12-31,2022-01-25,2022-02-03
232,"IT-HPAI(P)-2021-00266","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-15,2021-12-31,2022-01-21,2022-01-30
233,"IT-HPAI(P)-2021-00267","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-15,2021-12-28,2022-01-26,2022-02-04
234,"IT-HPAI(P)-2021-00268","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-16,2022-01-15,2022-02-05,2022-02-14
235,"IT-HPAI(P)-2021-00269","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-16,2022-01-05,2022-01-26,2022-02-04
236,"IT-HPAI(P)-2021-00270","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Guinea fowl","H5N1",2021-12-16,2022-01-06,2022-01-30,2022-02-08
237,"IT-HPAI(P)-2021-00271","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-16,2022-01-04,2022-01-27,2022-02-05
238,"IT-HPAI(P)-2021-00272","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-16,2021-12-29,2022-01-19,2022-01-28
239,"IT-HPAI(P)-2021-00273","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Chicken breeder","H5N1",2021-12-17,2021-12-29,2022-01-29,2022-02-07
240,"IT-HPAI(P)-2021-00274","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-16,2022-01-15,2022-02-05,2022-02-14
241,"IT-HPAI(P)-2021-00275","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-17,2022-01-14,2022-02-04,2022-02-13
242,"IT-HPAI(P)-2021-00276","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-17,2022-01-15,2022-02-05,2022-02-14
243,"IT-HPAI(P)-2021-00277","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-17,2022-01-13,2022-01-25,2022-02-03
244,"IT-HPAI(P)-2021-00278","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-17,2022-01-09,2022-01-30,2022-02-08
245,"IT-HPAI(P)-2021-00279","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-17,2022-01-06,2022-01-27,2022-02-05
246,"IT-HPAI(P)-2021-00280","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-17,2021-12-30,2022-01-20,2022-01-29
247,"IT-HPAI(P)-2021-00281","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-18,2021-12-30,2022-02-02,2022-02-11
248,"IT-HPAI(P)-2021-00282","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-18,2021-12-30,2022-01-20,2022-01-29
249,"IT-HPAI(P)-2021-00283","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-12-18,2022-01-05,2022-01-29,2022-02-07
250,"IT-HPAI(P)-2021-00284","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-12-19,2022-01-09,2022-01-30,2022-02-08
251,"IT-HPAI(P)-2021-00285","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-21,2022-01-13,2022-02-03,2022-02-12
252,"IT-HPAI(P)-2021-00286","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-21,2022-01-13,2022-02-03,2022-02-12
253,"IT-HPAI(P)-2021-00287","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-21,2022-01-16,2022-02-06,2022-02-15
254,"IT-HPAI(P)-2021-00288","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-21,2022-01-04,2022-01-25,2022-02-03
255,"IT-HPAI(P)-2021-00289","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-21,2021-12-28,2022-01-18,2022-01-27
256,"IT-HPAI(P)-2021-00290","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2021-12-28,2022-01-18,2022-01-27
257,"IT-HPAI(P)-2021-00291","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2022-01-04,2022-01-29,2022-02-07
258,"IT-HPAI(P)-2021-00292","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2022-01-08,2022-01-29,2022-02-07
259,"IT-HPAI(P)-2021-00293","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2022-01-06,2022-01-27,2022-02-05
260,"IT-HPAI(P)-2021-00294","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-21,2021-12-31,2022-01-27,2022-02-05
261,"IT-HPAI(P)-2021-00295","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Cockerel","H5N1",2021-12-21,2022-01-06,2022-01-27,2022-02-05
262,"IT-HPAI(P)-2021-00296","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-22,2022-01-10,2022-01-31,2022-02-09
263,"IT-HPAI(P)-2021-00297","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-21,2022-01-16,2022-02-06,2022-02-15
264,"IT-HPAI(P)-2021-00298","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-21,2021-12-30,2022-01-20,2022-01-29
265,"IT-HPAI(P)-2021-00299","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Multispecies/rural","H5N1",2021-12-21,2021-12-31,2022-01-27,2022-02-05
266,"IT-HPAI(P)-2021-00300","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-12-21,2021-12-24,2022-01-27,2022-02-05
267,"IT-HPAI(P)-2021-00301","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-22,2022-01-29,2022-02-19,2022-02-28
268,"IT-HPAI(P)-2021-00302","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-22,2022-01-05,2022-01-26,2022-02-04
269,"IT-HPAI(P)-2021-00303","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,"Meat turkey","H5N1",2021-12-22,2022-01-01,2022-02-04,2022-02-13
270,"IT-HPAI(P)-2021-00304","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-22,2022-01-29,2022-02-19,2022-02-28
271,"IT-HPAI(P)-2021-00305","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-22,2021-12-31,2022-01-21,2022-01-30
272,"IT-HPAI(P)-2021-00306","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-22,2021-12-28,2022-02-02,2022-02-11
273,"IT-HPAI(P)-2021-00307","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-23,2022-01-05,2022-02-04,2022-02-13
274,"IT-HPAI(P)-2021-00308","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-23,2022-01-20,2022-02-10,2022-02-19
275,"IT-HPAI(P)-2021-00309","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-23,2022-01-19,2022-02-09,2022-02-18
276,"IT-HPAI(P)-2021-00310","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-24,2022-01-14,2022-02-04,2022-02-13
277,"IT-HPAI(P)-2021-00311","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-24,2022-01-05,2022-01-26,2022-02-04
278,"IT-HPAI(P)-2021-00312","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Meat turkey","H5N1",2021-12-24,2022-01-05,2022-01-26,2022-02-04
279,"IT-HPAI(P)-2021-00313","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-24,2022-01-08,2022-01-29,2022-02-07
280,"IT-HPAI(P)-2021-00314","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-24,2022-01-14,2022-02-04,2022-02-13
281,"IT-HPAI(P)-2021-00315","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,"Meat turkey","H5N1",2021-12-26,2022-01-10,2022-02-04,2022-02-13
282,"IT-HPAI(P)-2021-00316","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-24,2022-01-18,2022-02-08,2022-02-17
283,"IT-HPAI(P)-2021-00317","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Meat turkey","H5N1",2021-12-24,2021-12-31,2022-01-21,2022-01-30
284,"IT-HPAI(P)-2021-00318","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Multispecies/rural","H5N1",2021-12-24,2022-01-11,2022-02-01,2022-02-10
285,"IT-HPAI(P)-2021-00319","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Pullet","H5N1",2021-12-24,2022-01-13,2022-02-03,2022-02-12
286,"IT-HPAI(P)-2021-00320","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,"Meat turkey","H5N1",2021-12-29,2022-01-11,2022-02-04,2022-02-13
287,"IT-HPAI(P)-2021-00321","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Broiler","H5N1",2021-12-29,2022-01-08,2022-01-29,2022-02-07
288,"IT-HPAI(P)-2021-00322","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-29,2022-01-14,2022-02-04,2022-02-13
289,"IT-HPAI(P)-2021-00323","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-29,2022-01-12,2022-02-02,2022-02-11
290,"IT-HPAI(P)-2021-00324","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-27,2022-01-12,2022-02-02,2022-02-11
291,"IT-HPAI(P)-2021-00325","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-27,2022-01-19,2022-02-09,2022-02-18
292,"IT-HPAI(P)-2021-00326","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-27,2022-01-05,2022-02-09,2022-02-18
293,"IT-HPAI(P)-2021-00327","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-27,2022-01-20,2022-02-10,2022-02-19
294,"IT-HPAI(P)-2021-00328","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2021-12-27,2022-01-18,2022-02-08,2022-02-17
295,"IT-HPAI(P)-2022-00001","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Grower farms","H5N1",2021-12-31,2021-12-31,2022-01-21,2022-01-30
296,"IT-HPAI(P)-2022-00002","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Pullet","H5N1",2021-12-31,2022-01-14,2022-02-04,2022-02-13
