"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
34,"IT-HPAI(P)-2021-00040","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Quail","H5N1",2021-11-14,2021-11-26,2022-01-30,2022-02-08
35,"IT-HPAI(P)-2021-00041","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-14,2021-11-19,2022-01-21,2022-01-30
36,"IT-HPAI(P)-2021-00042","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-14,2021-12-03,2022-01-21,2022-01-30
37,"IT-HPAI(P)-2021-00043","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-14,2021-12-15,2022-01-25,2022-02-03
38,"IT-HPAI(P)-2021-00044","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-29,2022-01-25,2022-02-03
39,"IT-HPAI(P)-2021-00045","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-12-03,2022-01-20,2022-01-29
40,"IT-HPAI(P)-2021-00046","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-25,2022-01-18,2022-01-27
41,"IT-HPAI(P)-2021-00047","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-23,2022-01-21,2022-01-30
42,"IT-HPAI(P)-2021-00048","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-12,2021-11-21,2022-01-30,2022-02-08
43,"IT-HPAI(P)-2021-00049","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-11-27,2022-01-19,2022-01-28
44,"IT-HPAI(P)-2021-00050","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-12-11,2022-01-21,2022-01-30
45,"IT-HPAI(P)-2021-00051","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-11-24,2022-01-21,2022-01-30
46,"IT-HPAI(P)-2021-00052","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-12-03,2022-02-04,2022-02-13
47,"IT-HPAI(P)-2021-00053","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-11-21,2022-01-30,2022-02-08
48,"IT-HPAI(P)-2021-00054","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-12-17,2022-01-13,2022-01-22
49,"IT-HPAI(P)-2021-00055","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-12-15,2022-01-21,2022-01-30
50,"IT-HPAI(P)-2021-00056","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-15,2021-12-02,2022-01-21,2022-01-30
51,"IT-HPAI(P)-2021-00057","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Meat turkey","H5N1",2021-11-15,2021-11-21,2022-01-21,2022-01-30
52,"IT-HPAI(P)-2021-00058","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,"Laying hen","H5N1",2021-11-15,2021-12-08,2022-01-26,2022-02-04
53,"IT-HPAI(P)-2021-00059","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Meat turkey","H5N1",2021-11-16,2021-11-24,2021-12-16,2021-12-25
54,"IT-HPAI(P)-2021-00060","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-16,2021-12-16,2022-01-20,2022-01-29
55,"IT-HPAI(P)-2021-00061","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-11-30,2022-01-21,2022-01-30
56,"IT-HPAI(P)-2021-00062","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-17,2022-01-21,2022-01-30
