"Confirmed date","Country","Lat","Long","HPAI strain","WOAH Classification","Cases"
2021-11-15,"Bulgaria",42.7339,25.4858,"H5","Farm","1"
2021-11-16,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","3"
2021-11-16,"Romania",45.9432,24.9668,"H5N1","Wild birds","1"
2021-11-16,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-11-16,"Norway",60.472,8.4689,"H5N1","Wild birds","1"
2021-11-16,"Italy",41.87194,12.56738,"H5N1","Farm","7"
2021-11-16,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-11-16,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-11-16,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-11-16,"Germany",51.165691,10.451526,"H5N1","Wild birds","7"
2021-11-16,"France",46.2276,2.2137,"H5N1","Wild birds","1"
2021-11-16,"Czech Republic",49.8175,15.473,"H5N1","Wild birds","1"
2021-11-17,"Germany",51.165691,10.451526,"H5","Wild birds","1"
2021-11-17,"Poland",51.9194,19.1451,"H5N1","Farm","4"
2021-11-17,"Norway",60.472,8.4689,"H5N1","Wild birds","1"
2021-11-17,"Italy",41.87194,12.56738,"H5N1","Farm","5"
2021-11-17,"Italy",41.87194,12.56738,"H5N1","Wild birds","1"
2021-11-17,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","3"
2021-11-17,"Hungary",47.1625,19.5033,"H5N1","Farm","4"
2021-11-17,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-11-17,"Germany",51.165691,10.451526,"H5N1","Wild birds","19"
2021-11-17,"Denmark",56.2639,9.5018,"H5N1","Wild birds","2"
2021-11-18,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","8"
2021-11-18,"Sweden",60.128161,18.643501,"H5N1","Wild birds","4"
2021-11-18,"Poland",51.9194,19.1451,"H5N1","Farm","2"
2021-11-18,"Norway",60.472,8.4689,"H5N1","Farm","1"
